ID,NAME,PASSWORD,DATE OF BIRTH,SEX,EMAIL-ID
1,Lucas Digne,xyz,11-01-1994,M,lesbleus@fff.fr
1,Antoine Griezmann,xyz,11-01-1994,M,lesbleus@fff.fr
2,Hugo Lloris,xyz,11-01-1994,M,lesbleus@fff.fr
3,Kylian Mbapp̩,xyz,11-01-1994,M,lesbleus@fff.fr
4,Laurent Koscielny,xyz,11-01-1994,M,lesbleus@fff.fr
5,N'Golo Kant̩,xyz,11-01-1994,M,lesbleus@fff.fr
6,Olivier Giroud,xyz,11-01-1994,M,lesbleus@fff.fr
7,Ousmane Demb̩l̩,xyz,11-01-1994,M,lesbleus@fff.fr
8,Paul Pogba,xyz,11-01-1994,M,lesbleus@fff.fr
9,Olivier Giroud,xyz,11-01-1994,M,lesbleus@fff.fr
